arrest_date,time,area_name,age,sex,descent,charge_group,charge_desc,arrest_type,rep_dist,latitude,longitude,year,month,day,age_group
2016-04-27,06:35 PM,Southeast,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1832,33.9401,-118.2761,2016,Apr,Wed,15-20
2016-04-24,06:00 AM,N Hollywood,20,Male,Hispanic,Driving Under Influence,< AGE 21 DRIVING VEH W/BLOOD-ALCOHOL .01+,Misdemeanor,1503,34.1994,-118.4006,2016,Apr,Sun,15-20
2016-04-29,01:29 AM,Foothill,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1675,34.2309,-118.3727,2016,Apr,Fri,15-20
2016-04-23,09:40 PM,77th Street,20,Male,Hispanic,Driving Under Influence,DUI ALCOHOL CAUSING INJURY,Felony,1259,33.9721,-118.2586,2016,Apr,Sat,15-20
2016-04-25,05:05 AM,Van Nuys,18,Female,Black,Driving Under Influence,DUI ALCOHOL CAUSING INJURY,Felony,991,34.1389,-118.4611,2016,Apr,Mon,15-20
2016-04-29,11:55 PM,Newton,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,1345,34.0102,-118.2521,2016,Apr,Fri,15-20
2016-04-30,02:50 AM,Olympic,20,Female,Hispanic,Driving Under Influence,DUI ALCOHOL CAUSING INJURY,Felony,2038,34.0578,-118.2916,2016,Apr,Sat,15-20
2016-05-04,03:48 AM,Northeast,20,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1177,34.0839,-118.2224,2016,May,Wed,15-20
2016-05-01,12:20 AM,Harbor,20,Male,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,519,33.7918,-118.2412,2016,May,Sun,15-20
2016-04-30,02:35 AM,Pacific,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1494,33.9309,-118.3961,2016,Apr,Sat,15-20
2016-05-06,01:50 PM,Northeast,20,Male,White,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1105,34.1413,-118.209,2016,May,Fri,15-20
2016-05-07,04:50 PM,West Valley,19,Male,Hispanic,Driving Under Influence,DRUNK DRIVING ALCOHOL/DRUGS,Misdemeanor,1025,34.1939,-118.5317,2016,May,Sat,15-20
2016-05-07,05:05 PM,Wilshire,20,Female,Hispanic,Driving Under Influence,DUI OF ANY DRUG,Misdemeanor,774,34.0409,-118.3473,2016,May,Sat,15-20
